DateTime,Open,Close,Low,High,Volume,EMA_20,EMA_12_26_PDIFF,CCI,MACD,MACD_SIG,MACD_HIST,ATR,BOLBAND_UP,BOLBAND_MID,BOLBAND_LOW,MOM20,ROC10
2018-09-20 04:25:00,3.11e-06,3.11e-06,3.11e-06,3.11e-06,0.02507593,3.0930382011670182e-06,1.0017491037491735,168.79432624113983,5.5855286300036406e-09,2.7852223519919663e-09,2.8003062780116743e-09,1.0277678536547537e-08,3.121595917942974e-06,3.1019999999999993e-06,3.0824040820570245e-06,2.999999999999971e-08,0.009740259740259646
2018-09-20 04:30:00,3.11e-06,3.11e-06,3.11e-06,3.11e-06,0.02739163,3.094653610579683e-06,1.0019585316252397,130.99415204679207,6.208221372970741e-09,3.4698221561877215e-09,2.73839921678302e-09,9.543558641079856e-09,3.122000000000982e-06,3.105999999999999e-06,3.0899999999990162e-06,2.999999999999971e-08,0.009740259740259646
2018-09-20 04:35:00,3.11e-06,3.11e-06,3.1e-06,3.11e-06,0.0445157,3.096115171476856e-06,1.0021000383989342,83.20413436692597,6.62533709611619e-09,4.100925144173415e-09,2.524411951942775e-09,9.576161595288432e-09,3.109999999999999e-06,3.109999999999999e-06,3.109999999999999e-06,2.999999999999971e-08,0.006472491909385051
2018-09-20 04:40:00,3.11e-06,3.12e-06,3.1e-06,3.12e-06,0.21267024,3.0983899170504887e-06,1.0024439106821597,109.11270983213683,7.674355544778753e-09,4.815611224294482e-09,2.8587443204842706e-09,1.0320721481339276e-08,3.1200000000023084e-06,3.111999999999999e-06,3.10399999999769e-06,4.000000000000004e-08,0.009708737864077714
2018-09-20 04:45:00,3.12e-06,3.11e-06,3.11e-06,3.12e-06,0.0631742,3.0994956392361563e-06,1.0024280200695745,93.33333333333304,7.611058254758526e-09,5.374700630387291e-09,2.2363576243712348e-09,1.029781280410078e-08,3.1200000000023084e-06,3.111999999999999e-06,3.10399999999769e-06,1.999999999999981e-08,0.006472491909385051
2018-09-20 04:50:00,3.11e-06,3.11e-06,3.1e-06,3.11e-06,0.03112485,3.1004960545469987e-06,1.0023878011887308,38.251366120217774,7.47473065426133e-09,5.794706635162099e-09,1.6800240190992316e-09,1.0276540460950716e-08,3.1200000000023084e-06,3.111999999999999e-06,3.10399999999769e-06,9.999999999999904e-09,0.006472491909385051
2018-09-20 04:55:00,3.11e-06,3.11e-06,3.1e-06,3.11e-06,0.11549185,3.1014011922091893e-06,1.0023290004352183,32.74853801169399,7.282739164934341e-09,6.092313141116547e-09,1.1904260238177934e-09,1.0256787570882803e-08,3.1200000000023084e-06,3.111999999999999e-06,3.10399999999769e-06,1.999999999999981e-08,0.006472491909385051
2018-09-20 05:00:00,3.11e-06,3.11e-06,3.11e-06,3.12e-06,0.24400302,3.1022201262845045e-06,1.0022563274588614,83.41384863123459,7.049324303895394e-09,6.2837153736723165e-09,7.656089302230772e-10,1.0238445601534055e-08,3.1200000000023084e-06,3.111999999999999e-06,3.10399999999769e-06,9.999999999999904e-09,0.006472491909385051
2018-09-20 05:05:00,3.11e-06,3.11e-06,3.1e-06,3.12e-06,0.04687818,3.102961066638361e-06,1.0021736268792818,46.66666666666593,6.786115232666622e-09,6.3841953454711776e-09,4.0191988719544446e-10,1.093569948713878e-08,3.109999999999999e-06,3.109999999999999e-06,3.109999999999999e-06,1.999999999999981e-08,0.0
2018-09-20 05:10:00,3.11e-06,3.11e-06,3.1e-06,3.12e-06,0.02812359,3.1036314412442316e-06,1.0020840224845926,40.57971014493276,6.502562652841791e-09,6.4078688069453e-09,9.469384589649119e-11,1.1583149523771741e-08,3.109999999999999e-06,3.109999999999999e-06,3.109999999999999e-06,2.999999999999971e-08,0.0
