DateTime,Open,Close,Low,High,Volume,EMA_20,EMA_12_26_PDIFF,CCI,MACD,MACD_SIG,MACD_HIST,ATR,BOLBAND_UP,BOLBAND_MID,BOLBAND_LOW,MOM20,ROC10
2018-09-27 09:25:00,5.1e-07,5.2e-07,5.1e-07,5.2e-07,0.01829833,5.19031118302082e-07,0.995115476286762,-31.111111111112034,-2.6744469500357978e-09,-2.850536320399547e-09,1.760893703637492e-10,6.378093059447041e-09,5.257979589710856e-07,5.160000000000001e-07,5.062020410289146e-07,-1.000000000000001e-08,0.0
2018-09-27 09:30:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.05298289,5.191233927495027e-07,0.9958460509980193,37.333333333332924,-2.2738177036520363e-09,-2.7351925970500447e-09,4.6137489339800843e-10,5.922514983772253e-09,5.25999999999949e-07,5.180000000000002e-07,5.100000000000513e-07,0.0,0.0
2018-09-27 09:35:00,5.2e-07,5.1e-07,5.1e-07,5.2e-07,0.25490472,5.18254498201931e-07,0.9949248244390415,-77.77777777777843,-2.731742736215671e-09,-2.73450262488317e-09,2.759888667498706e-12,6.2137639135028064e-09,5.257979589710959e-07,5.160000000000001e-07,5.062020410289044e-07,-1.000000000000001e-08,-0.01923076923076925
2018-09-27 09:40:00,5.1e-07,5.1e-07,5.1e-07,5.2e-07,0.27173,5.174683555160328e-07,0.9942579243810103,-66.66666666666588,-3.0593849385237993e-09,-2.7994790876112958e-09,-2.599058509125036e-10,6.484209348252607e-09,5.237979589710857e-07,5.140000000000002e-07,5.042020410289147e-07,-1.000000000000001e-08,-0.01923076923076925
2018-09-27 09:45:00,5.1e-07,5.2e-07,5.1e-07,5.2e-07,0.12014651,5.177094645145059e-07,0.995345041215756,-4.402515723269175,-2.483499086331868e-09,-2.73628308735541e-09,2.527840010235422e-10,6.7353372519488495e-09,5.257979589710856e-07,5.160000000000001e-07,5.062020410289146e-07,0.0,0.0
2018-09-27 09:50:00,5.2e-07,5.1e-07,5.1e-07,5.2e-07,0.03487378,5.169752297988387e-07,0.9947046443697428,-57.2327044025147,-2.8017252809242036e-09,-2.7493715260691686e-09,-5.235375485503495e-11,6.968527448238219e-09,5.237979589710857e-07,5.140000000000002e-07,5.042020410289147e-07,-2.000000000000002e-08,0.0
2018-09-27 09:55:00,5.1e-07,5.2e-07,5.1e-07,5.2e-07,0.16193579,5.172633031513302e-07,0.9958085731373927,9.333333333332712,-2.221398507104191e-09,-2.6437769222761732e-09,4.2237841517198203e-10,7.18506120193549e-09,5.237979589710857e-07,5.140000000000002e-07,5.042020410289147e-07,0.0,0.019607843137254923
2018-09-27 10:00:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.09463212,5.175239409464416e-07,0.9967209425336718,84.39716312056731,-1.7414114506115728e-09,-2.4633038279432533e-09,7.218923773316805e-10,6.671842544654384e-09,5.257979589710856e-07,5.160000000000001e-07,5.062020410289146e-07,0.0,0.0
2018-09-27 10:05:00,5.1e-07,5.2e-07,5.1e-07,5.2e-07,0.02702193,5.177597560943996e-07,0.9974728963014563,28.45528455284502,-1.3455080707314925e-09,-2.2397446765009012e-09,8.942366057694087e-10,6.909568077179071e-09,5.25999999999949e-07,5.180000000000002e-07,5.100000000000513e-07,0.0,0.0
2018-09-27 10:10:00,5.1e-07,5.1e-07,5.1e-07,5.1e-07,0.00062911,5.170207317044568e-07,0.9965475706644968,-130.89430894309012,-1.8177147324125729e-09,-2.1553386876832357e-09,3.3762395527066286e-10,7.130313214523424e-09,5.257979589710959e-07,5.160000000000001e-07,5.062020410289044e-07,-1.000000000000001e-08,0.0
2018-09-27 10:15:00,5.2e-07,5.2e-07,5.2e-07,5.2e-07,0.27665924,5.173044715421276e-07,0.9974054884215798,95.5823293172677,-1.3692417211095531e-09,-1.9981192943684993e-09,6.288775732589462e-10,7.3352908420574664e-09,5.25999999999949e-07,5.180000000000002e-07,5.100000000000513e-07,0.0,0.0
2018-09-27 10:20:00,5.2e-07,5.3e-07,5.2e-07,5.3e-07,0.20885536,5.185135694904964e-07,0.9996468799773578,199.99999999999608,-2.0454928523262687e-10,-1.6394052925413248e-09,1.434856007308698e-09,7.525627210481934e-09,5.326491106406445e-07,5.200000000000001e-07,5.073508893593557e-07,1.000000000000001e-08,0.01923076923076925
2018-09-27 10:25:00,5.3e-07,5.3e-07,5.3e-07,5.3e-07,0.77208688,5.196075152533063e-07,1.0014012948781017,197.86666666666648,7.102900794598473e-10,-1.1694662181410905e-09,1.8797562976009378e-09,6.988082409733225e-09,5.369666295470776e-07,5.22e-07,5.070333704529225e-07,1.000000000000001e-08,0.039215686274509845
2018-09-27 10:30:00,5.2e-07,5.3e-07,5.2e-07,5.3e-07,0.02154479,5.205972757053723e-07,1.0027554041612194,118.40796019900525,1.4189500936268116e-09,-6.5178295578751e-10,2.0707330494143215e-09,7.203219380466567e-09,5.399999999999797e-07,5.240000000000001e-07,5.080000000000205e-07,1.000000000000001e-08,0.039215686274509845
2018-09-27 10:35:00,5.3e-07,5.3e-07,5.2e-07,5.3e-07,0.29273349,5.214927732572416e-07,1.0037814083510965,98.41269841269852,1.9579976820068275e-09,-1.2982682822864245e-10,2.0878245102354697e-09,7.402989424718955e-09,5.359999999999615e-07,5.280000000000001e-07,5.200000000000386e-07,1.000000000000001e-08,0.01923076923076925
2018-09-27 10:40:00,5.2e-07,5.1e-07,5.1e-07,5.3e-07,0.4150371,5.203982234232186e-07,1.0014864076637373,-31.11111111111056,7.62573454304564e-10,4.8653228277998844e-11,7.139202260265652e-10,8.302775894381888e-09,5.419999999999986e-07,5.26e-07,5.100000000000015e-07,0.0,0.0
2018-09-27 10:45:00,5.1e-07,5.1e-07,5.1e-07,5.3e-07,0.11988404,5.19407916430531e-07,0.9996661706521645,-35.64814814814805,-1.8270277485594635e-10,2.382027651209805e-12,-1.8508480250715616e-10,9.138291901926041e-09,5.415959179422534e-07,5.22e-07,5.024040820577467e-07,0.0,-0.01923076923076925
